"","Year","Date","School","Site","Opponent","Result","Completions","Attempts","Pct","Pass Yards","Pass TDs","Int","Rating","Rush Attempts","Rush Yards","Rush Avg","Rush TDs"
"1","2016","2016-09-03","Duke","","North Carolina Central","W","10","15","66.7","189","2","0","216.5","2","28","14.0","1"
"2","2016","2016-09-10","Duke","","Wake Forest","L","31","48","64.6","332","0","1","118.5","19","6","0.3","2"
"3","2016","2016-09-17","Duke","@","Northwestern","L","27","48","56.3","279","0","1","100.9","10","47","4.7","0"
"4","2016","2016-09-24","Duke","@","Notre Dame","W","24","32","75.0","290","3","1","175.8","5","19","3.8","0"
"5","2016","2016-10-01","Duke","","Virginia","L","33","54","61.1","324","1","5","99.1","8","24","3.0","0"
"6","2016","2016-10-08","Duke","","Army","W","7","15","46.7","41","1","0","91.6","21","55","2.6","0"
"7","2016","2016-10-14","Duke","@","Louisville","L","14","21","66.7","129","2","0","149.7","7","24","3.4","0"
"8","2016","2016-10-29","Duke","@","Georgia Tech","L","22","36","61.1","305","2","1","145.1","10","73","7.3","0"
"9","2016","2016-11-05","Duke","","Virginia Tech","L","18","31","58.1","148","0","0","98.2","18","99","5.5","2"
"10","2016","2016-11-10","Duke","","North Carolina","W","22","34","64.7","240","1","0","133.7","16","94","5.9","2"
"11","2016","2016-11-19","Duke","@","Pittsburgh","L","28","46","60.9","243","1","0","112.4","11","2","0.2","0"
"12","2016","2016-11-26","Duke","@","Miami (FL)","L","34","50","68.0","316","3","0","140.9","14","15","1.1","0"
"13","2017","2017-09-02","Duke","","North Carolina Central","W","19","25","76.0","213","2","0","174.0","4","19","4.8","1"
"14","2017","2017-09-09","Duke","","Northwestern","W","29","45","64.4","305","2","1","131.6","16","108","6.8","2"
"15","2017","2017-09-16","Duke","","Baylor","W","20","35","57.1","184","0","1","95.6","11","-14","-1.3","0"
"16","2017","2017-09-23","Duke","@","North Carolina","W","18","34","52.9","202","1","0","112.6","11","28","2.5","0"
"17","2017","2017-09-29","Duke","","Miami (FL)","L","21","41","51.2","166","0","1","80.4","18","31","1.7","0"
"18","2017","2017-10-07","Duke","@","Virginia","L","14","42","33.3","124","1","2","56.5","9","36","4.0","0"
"19","2017","2017-10-14","Duke","","Florida State","L","22","35","62.9","204","0","0","111.8","3","1","0.3","0"
"20","2017","2017-10-21","Duke","","Pittsburgh","L","15","33","45.5","272","2","1","128.6","7","8","1.1","0"
"21","2017","2017-10-28","Duke","@","Virginia Tech","L","10","24","41.7","82","0","1","62.0","17","65","3.8","0"
"22","2017","2017-11-11","Duke","@","Army","L","19","29","65.5","164","0","1","106.1","19","22","1.2","1"
"23","2017","2017-11-18","Duke","","Georgia Tech","W","18","26","69.2","177","2","0","151.8","16","91","5.7","1"
"24","2017","2017-11-25","Duke","@","Wake Forest","W","25","44","56.8","346","2","3","124.2","14","37","2.6","1"
"25","2017","2017-12-26","Duke","N","Northern Illinois","W","27","40","67.5","252","2","0","136.9","16","86","5.4","1"
"26","2018","2018-08-31","Duke","","Army","W","13","17","76.5","197","1","0","193.2","10","43","4.3","1"
"27","2018","2018-09-08","Duke","@","Northwestern","W","16","22","72.7","192","3","0","191.0","2","-3","-1.5","0"
"28","2018","2018-09-29","Duke","","Virginia Tech","L","23","35","65.7","226","1","1","123.7","6","1","0.2","0"
"29","2018","2018-10-13","Duke","@","Georgia Tech","W","17","27","63.0","206","3","1","156.3","9","4","0.4","0"
"30","2018","2018-10-20","Duke","","Virginia","L","22","40","55.0","240","1","2","103.7","15","37","2.5","0"
"31","2018","2018-10-27","Duke","@","Pittsburgh","L","27","42","64.3","396","4","0","174.9","15","38","2.5","0"
"32","2018","2018-11-03","Duke","@","Miami (FL)","W","17","35","48.6","130","0","1","74.1","8","21","2.6","0"
"33","2018","2018-11-10","Duke","","North Carolina","W","31","54","57.4","361","3","1","128.2","15","186","12.4","1"
"34","2018","2018-11-17","Duke","@","Clemson","L","24","43","55.8","158","0","0","86.7","12","7","0.6","0"
"35","2018","2018-11-24","Duke","","Wake Forest","L","17","36","47.2","145","1","1","84.7","6","-9","-1.5","0"
"36","2018","2018-12-27","Duke","N","Temple","W","30","41","73.2","423","5","2","190.3","6","-6","-1.0","1"
